indicator_data_id,indicator_id,name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_valuemessage
130728,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",Borough,1,Bronx,2005,2.8
130729,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",Borough,2,Brooklyn,2005,2.8
130730,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",Borough,3,Manhattan,2005,4.7
130731,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",Borough,4,Queens,2005,1.9
130732,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",Borough,5,"Staten Island",2005,1.6
130727,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",Citywide,1,"New York City",2005,2.9
130685,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,101,"Kingsbridge - Riverdale",2005,2.9
130686,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,102,"Northeast Bronx",2005,2.8
130687,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,103,"Fordham - Bronx Pk",2005,2.7
130688,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,104,"Pelham - Throgs Neck",2005,2.7
130689,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,105,"Crotona -Tremont",2005,3
130690,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,106,"High Bridge - Morrisania",2005,3
130691,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,107,"Hunts Point - Mott Haven",2005,2.8
130692,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,201,Greenpoint,2005,3.7
130693,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,202,"Downtown - Heights - Slope",2005,3.7
130694,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,203,"Bedford Stuyvesant - Crown Heights",2005,2.5
130695,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,204,"East New York",2005,2.3
130696,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,205,"Sunset Park",2005,3.2
130697,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,206,"Borough Park",2005,2.5
130698,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,207,"East Flatbush - Flatbush",2005,2.3
130699,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,208,"Canarsie - Flatlands",2005,2.4
130700,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,209,"Bensonhurst - Bay Ridge",2005,2.8
130701,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,210,"Coney Island - Sheepshead Bay",2005,2.4
130702,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,211,"Williamsburg - Bushwick",2005,2.8
130703,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,301,"Washington Heights",2005,4.1
130704,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,302,"Central Harlem - Morningside Heights",2005,3.9
130705,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,303,"East Harlem",2005,4.2
130706,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,304,"Upper West Side",2005,3.9
130707,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,305,"Upper East Side",2005,4.5
130708,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,306,"Chelsea - Clinton",2005,4.9
130709,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,307,"Gramercy Park - Murray Hill",2005,5.3
130710,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,308,"Greenwich Village - SoHo",2005,4.7
130711,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,309,"Union Square - Lower East Side",2005,5
130712,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,310,"Lower Manhattan",2005,6.3
130713,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,401,"Long Island City - Astoria",2005,2.7
130714,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,402,"West Queens",2005,2.2
130715,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,403,"Flushing - Clearview",2005,1.9
130716,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,404,"Bayside - Little Neck",2005,1.9
130717,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,405,"Ridgewood - Forest Hills",2005,2
130718,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,406,"Fresh Meadows",2005,1.7
130719,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,407,"Southwest Queens",2005,1.8
130720,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,408,Jamaica,2005,1.8
130721,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,409,"Southeast Queens",2005,1.8
130722,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,410,Rockaways,2005,1.4
130723,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,501,"Port Richmond",2005,2.5
130724,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,502,"Stapleton - St. George",2005,1.3
130725,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,503,Willowbrook,2005,1.6
130726,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration",UHF42,504,"South Beach - Tottenville",2005,1.1
130776,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",Borough,1,Bronx,2005,3.3
130777,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",Borough,2,Brooklyn,2005,3
130778,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",Borough,3,Manhattan,2005,4.3
130779,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",Borough,4,Queens,2005,2.7
130780,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",Borough,5,"Staten Island",2005,2.3
130775,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",Citywide,1,"New York City",2005,3.2
130733,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,101,"Kingsbridge - Riverdale",2005,3.2
130734,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,102,"Northeast Bronx",2005,3.2
130735,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,103,"Fordham - Bronx Pk",2005,3.2
130736,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,104,"Pelham - Throgs Neck",2005,3.2
130737,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,105,"Crotona -Tremont",2005,3.4
130738,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,106,"High Bridge - Morrisania",2005,3.6
130739,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,107,"Hunts Point - Mott Haven",2005,3.5
130740,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,201,Greenpoint,2005,3.5
130741,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,202,"Downtown - Heights - Slope",2005,3.2
130742,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,203,"Bedford Stuyvesant - Crown Heights",2005,3
130743,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,204,"East New York",2005,2.8
130744,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,205,"Sunset Park",2005,3.2
130745,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,206,"Borough Park",2005,2.9
130746,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,207,"East Flatbush - Flatbush",2005,2.8
130747,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,208,"Canarsie - Flatlands",2005,2.8
130748,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,209,"Bensonhurst - Bay Ridge",2005,2.7
130749,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,210,"Coney Island - Sheepshead Bay",2005,2.5
130750,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,211,"Williamsburg - Bushwick",2005,3.1
130751,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,301,"Washington Heights",2005,3.9
130752,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,302,"Central Harlem - Morningside Heights",2005,4.2
130753,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,303,"East Harlem",2005,4.2
130754,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration",UHF42,304,"Upper West Side",2005,4
